Search term	Impressions	Clicks	CTR	CPC	Spend	Seven_Day_Total_Sales	ACoS	RoAS	Seven_Day_Total_Orders	Seven_Day_Total_Units	Seven_Day_Total_Rate	Seven_Day_Advertised_SKU_Units	Seven_Day_Other_SKU_Units	Seven_Day_Advertised_SKU_Sales	Seven_Day_Other_SKU_Sales = 22	
worlds okayest/best boss mug	     2.000	     1.000	     0.500	     0.550	     0.550	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best fucking boss	     4.000	     2.000	     0.500	     0.550	     1.090	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss's day gifts for women	     2.000	     1.000	     0.500	     0.720	     0.720	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
bosses day coffee mugs	   136.000	     4.000	     0.029	     3.260	     3.260	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
happy bosses day mugs	     4.000	     2.000	     0.500	     0.540	     1.070	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world s best boss	   166.000	     6.000	     0.036	     3.300	     4.860	    25.840	     0.188	    17.500	     2.000	     2.000	   100.000	     2.000	     0.000	    25.840	     0.000
best boss glass coffee mug	     1.000	     1.000	     1.000	     0.610	     0.610	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
black best boss mugs	     3.000	     1.000	     0.333	     0.650	     0.650	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
bosses day gifts mug	     2.000	     1.000	     0.500	     0.590	     0.590	    12.890	     0.046	    21.850	     1.000	     1.000	   100.000	     1.000	     0.000	    12.890	     0.000
funny mugs for bosses	     3.000	     2.000	     0.667	     0.390	     0.770	    38.670	     0.020	    50.220	     2.000	     3.000	   100.000	     2.000	     1.000	    25.780	     0.000
im the boss mug	    12.000	     2.000	     0.167	     0.680	     0.680	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds greatest boss mug with the middle finger	     2.000	     1.000	     0.500	     0.480	     0.480	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss beer mug	    15.000	     2.000	     0.133	     1.520	     1.520	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
office world best boss mug	     2.000	     1.000	     0.500	     0.480	     0.480	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss award	    18.000	     6.000	     0.333	     4.830	     4.830	    13.880	     0.348	    12.070	     1.000	     1.000	   100.000	     1.000	     0.000	    13.880	     0.000
national bosses day gift	     7.000	     1.000	     0.143	     0.330	     0.330	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss ever mug / boss mug	     1.000	     1.000	     1.000	     0.470	     0.470	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
star wars coffee mug for boss	     1.000	     1.000	     1.000	     0.580	     0.580	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss mug 15oz	     6.000	     1.000	     0.167	     0.190	     0.190	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss's day coffee mugs	     1.000	     1.000	     1.000	     0.460	     0.460	    12.890	     0.036	    28.020	     1.000	     1.000	   100.000	     1.000	     0.000	    12.890	     0.000
greatest boss coffee mug	     2.000	     1.000	     0.500	     0.530	     0.530	    12.160	     0.044	    22.940	     1.000	     1.000	   100.000	     1.000	     0.000	    12.160	     0.000
heat mug best boss	     4.000	     1.000	     0.250	     0.380	     0.380	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
coffee mug best boss maryann	     1.000	     1.000	     1.000	     0.610	     0.610	    12.890	     0.047	    21.130	     1.000	     1.000	   100.000	     1.000	     0.000	    12.890	     0.000
happy boss day boss mug	     1.000	     1.000	     1.000	     0.550	     0.550	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
like a boss coffee travel mug	     4.000	     1.000	     0.250	     0.620	     0.620	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
words best boss mug	  1035.000	    11.000	     0.011	     6.060	     7.500	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss hole mug	     1.000	     1.000	     1.000	     0.320	     0.320	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
national boss day gifts	  6428.000	    15.000	     0.002	     8.510	    12.000	    26.110	     0.460	    12.920	     2.000	     2.000	    83.330	     2.000	     0.000	    26.110	     0.000
giant boss coffee mug	     1.000	     1.000	     1.000	     0.150	     0.150	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss coffee mugs office	     2.000	     1.000	     0.500	     0.620	     0.620	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
morphing mugs with best boss quotes	     1.000	     1.000	     1.000	     0.470	     0.470	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
number 1 boss coffee mug	     9.000	     4.000	     0.444	     2.910	     2.910	    23.590	     0.123	    38.760	     2.000	     2.000	   200.000	     2.000	     0.000	    23.590	     0.000
best boss gifts for men funny	     5.000	     2.000	     0.400	     1.940	     1.940	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
coffee cup for boss gift	     1.000	     1.000	     1.000	     0.600	     0.600	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
cool gifts for boss	     8.000	     1.000	     0.125	     0.690	     0.690	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
going away gifts for boss female	     1.000	     1.000	     1.000	     0.790	     0.790	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
goodbye boss gifts	    19.000	     2.000	     0.105	     1.310	     1.310	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss gifts for men	   383.000	    15.000	     0.039	    11.030	    12.640	    37.560	     0.337	    46.070	     3.000	     3.000	   250.000	     3.000	     0.000	    37.560	     0.000
best boss woman mug	     5.000	     3.000	     0.600	     0.520	     1.560	    12.890	     0.121	     8.260	     1.000	     1.000	    33.333	     1.000	     0.000	    12.890	     0.000
worlds best boss plaque	     9.000	     2.000	     0.222	     1.230	     1.230	    12.890	     0.095	    29.300	     1.000	     1.000	   100.000	     1.000	     0.000	    12.890	     0.000
worlds best boss the office	    47.000	     3.000	     0.064	     1.460	     2.170	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss mom mug	     2.000	     1.000	     0.500	     0.610	     0.610	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts for boss birthday	     1.000	     1.000	     1.000	     0.720	     0.720	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts for my boss	    16.000	     1.000	     0.062	     0.780	     0.780	    12.890	     0.061	    16.530	     1.000	     1.000	   100.000	     1.000	     0.000	    12.890	     0.000
best freaking boss ever mug	     1.000	     1.000	     1.000	     0.360	     0.360	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss day coffee mug large	     1.000	     1.000	     1.000	     0.540	     0.540	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
coffee mugs that say boss	     1.000	     1.000	     1.000	     0.560	     0.560	    12.890	     0.043	    23.020	     1.000	     1.000	   100.000	     1.000	     0.000	    12.890	     0.000
male boss gifts	     4.000	     1.000	     0.250	     0.680	     0.680	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best lady boss ever	     1.000	     1.000	     1.000	     0.530	     0.530	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
awesome boss gifts	     7.000	     2.000	     0.286	     1.660	     1.660	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss holiday gifts	     3.000	     1.000	     0.333	     0.620	     0.620	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
im the boss coffee mug	     2.000	     1.000	     0.500	     0.440	     0.440	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world’s best boss	   306.000	     4.000	     0.013	     1.700	     2.400	    12.950	     0.185	    20.890	     1.000	     1.000	   100.000	     1.000	     0.000	    12.950	     0.000
i am the boss mug for men	     1.000	     1.000	     1.000	     0.560	     0.560	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss babe coffee mug	     6.000	     1.000	     0.167	     0.610	     0.610	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
xmas gift for boss	     2.000	     1.000	     0.500	     0.430	     0.430	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss leaving for new job gifts	     1.000	     1.000	     1.000	     0.580	     0.580	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gag gifts for bosses	     2.000	     1.000	     0.500	     0.680	     0.680	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world best boss birthday	     1.000	     1.000	     1.000	     0.730	     0.730	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world best boss birthday gift	     1.000	     1.000	     1.000	     0.710	     0.710	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
christmas gifts for bosses	    59.000	     2.000	     0.034	     1.580	     1.580	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
good gifts for bosses	     3.000	     2.000	     0.667	     1.470	     1.470	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss fishing	     1.000	     1.000	     1.000	     0.580	     0.580	    13.400	     0.043	    23.100	     1.000	     1.000	   100.000	     1.000	     0.000	    13.400	     0.000
gift ideas for boss female	    10.000	     1.000	     0.100	     0.710	     0.710	    13.400	     0.053	    18.870	     1.000	     1.000	   100.000	     1.000	     0.000	    13.400	     0.000
she's a boss mug	     2.000	     1.000	     0.500	     0.470	     0.470	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
farewell gifts to a great boss	     1.000	     1.000	     1.000	     0.490	     0.490	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
new boss gifts	    13.000	     1.000	     0.077	     0.590	     0.590	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gift ideas for boss leaving	     2.000	     1.000	     0.500	     0.510	     0.510	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
the worlds best boss mug	     3.000	     1.000	     0.333	     0.650	     0.650	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
trump boss mug	    10.000	     1.000	     0.100	     0.540	     0.540	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss gift funny	   109.000	     2.000	     0.018	     1.440	     1.440	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
funny boss daddy gifts	     3.000	     1.000	     0.333	     0.940	     0.940	    11.660	     0.081	    12.400	     1.000	     1.000	   100.000	     1.000	     0.000	    11.660	     0.000
miss boss gifts	     2.000	     1.000	     0.500	     0.480	     0.480	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world's best boss pen holder	     1.000	     1.000	     1.000	     0.780	     0.780	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
color changing mug best boss ever	     3.000	     1.000	     0.333	     0.890	     0.890	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
novelty boss gifts	     1.000	     1.000	     1.000	     0.700	     0.700	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss trendy mug	     1.000	     1.000	     1.000	     0.810	     0.810	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss mug with lid	     1.000	     1.000	     1.000	     0.550	     0.550	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss cup	   325.000	     8.000	     0.025	     4.950	     6.940	    52.000	     0.133	    66.540	     4.000	     4.000	   400.000	     3.000	     1.000	    38.880	     0.000
best boss insulated mug	     1.000	     1.000	     1.000	     0.970	     0.970	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mugs for boss fucker	     2.000	     1.000	     0.500	     0.780	     0.780	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mug asshole boss	     2.000	     1.000	     0.500	     0.990	     0.990	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss bitchs mug	    76.000	     2.000	     0.026	     1.750	     1.750	     9.120	     0.192	    13.030	     1.000	     1.000	   100.000	     1.000	     0.000	     9.120	     0.000
best boss drinkware	     2.000	     1.000	     0.500	     0.560	     0.560	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss by par	     1.000	     1.000	     1.000	     0.570	     0.570	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
cool mugs for boss	     2.000	     1.000	     0.500	     0.510	     0.510	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
coolest boss mug	     8.000	     4.000	     0.500	     1.720	     2.280	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
heat changing coffee mug boss	     1.000	     1.000	     1.000	     0.530	     0.530	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
the office boss mug	   511.000	     5.000	     0.010	     3.080	     3.080	    12.990	     0.237	    13.820	     1.000	     1.000	   100.000	     1.000	     0.000	    12.990	     0.000
world greatest boss mug	     2.000	     2.000	     1.000	     1.550	     1.550	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds bess boss mug	    37.000	     5.000	     0.135	     2.800	     2.800	    13.400	     0.209	    21.610	     1.000	     1.000	   100.000	     1.000	     0.000	    13.400	     0.000
best boss couple wine glasses	     1.000	     1.000	     1.000	     0.530	     0.530	    18.600	     0.028	    35.090	     1.000	     1.000	   100.000	     1.000	     0.000	    18.600	     0.000
men's boss coffee mug	     3.000	     1.000	     0.333	     0.620	     0.620	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
the best boss iris mug	     6.000	     2.000	     0.333	     0.860	     1.710	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world's best boss coffee mugs	     1.000	     1.000	     1.000	     0.560	     0.560	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss female	     2.000	     1.000	     0.500	     0.360	     0.360	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best british boss	     2.000	     1.000	     0.500	     0.520	     0.520	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts for bosses day	  1094.000	     8.000	     0.007	     4.230	     5.770	    26.110	     0.221	    27.240	     2.000	     2.000	   150.000	     2.000	     0.000	    26.110	     0.000
gift for female boss	   123.000	     2.000	     0.016	     0.250	     0.500	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts for favorite boss	     1.000	     1.000	     1.000	     0.680	     0.680	    12.200	     0.056	    17.940	     1.000	     1.000	   100.000	     1.000	     0.000	    12.200	     0.000
gifts for my boss male	    37.000	     2.000	     0.054	     0.970	     0.970	    12.200	     0.080	    21.790	     1.000	     1.000	   100.000	     1.000	     0.000	    12.200	     0.000
funny gifts for boss	   202.000	     3.000	     0.015	     2.500	     2.500	    11.550	     0.216	    10.900	     1.000	     1.000	   100.000	     1.000	     0.000	    11.550	     0.000
boss funny gifts	    45.000	     1.000	     0.022	     0.510	     0.510	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gag gifts for boss	     3.000	     1.000	     0.333	     0.700	     0.700	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifted world's best boss ever coffee mug	     1.000	     1.000	     1.000	     0.270	     0.270	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
i love my boss coffee mug	     4.000	     1.000	     0.250	     0.550	     0.550	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mom is boss mug	     1.000	     1.000	     1.000	     0.560	     0.560	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mr boss man mug	     1.000	     1.000	     1.000	     0.520	     0.520	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mugs for your boss	    48.000	     6.000	     0.125	     2.490	     3.600	    11.770	     0.306	    24.520	     1.000	     1.000	   100.000	     1.000	     0.000	    11.770	     0.000
mugs with funny sayings for bosses	     1.000	     1.000	     1.000	     0.580	     0.580	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss mug teal	     3.000	     1.000	     0.333	     0.580	     0.580	    13.820	     0.042	    23.830	     1.000	     1.000	   100.000	     1.000	     0.000	    13.820	     0.000
worlds best boss ornament	     2.000	     1.000	     0.500	     0.610	     0.610	    12.200	     0.050	    20.000	     1.000	     1.000	   100.000	     1.000	     0.000	    12.200	     0.000
worlds greatest boss mug the office joke	     1.000	     1.000	     1.000	     0.560	     0.560	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best effin boss	    11.000	     2.000	     0.182	     0.500	     0.990	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
to go mug for boss	     1.000	     1.000	     1.000	     0.200	     0.200	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss mug coding	     1.000	     1.000	     1.000	     0.510	     0.510	    12.200	     0.042	    23.920	     1.000	     1.000	   100.000	     1.000	     0.000	    12.200	     0.000
world's best boss mug middle finger inside	     2.000	     1.000	     0.500	     0.610	     0.610	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds sexiest boss mug	     4.000	     1.000	     0.250	     0.400	     0.400	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
horrible boss mug	     2.000	     1.000	     0.500	     0.560	     0.560	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
the office worlds best boss mug	    13.000	     1.000	     0.077	     0.250	     0.250	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
thermal mug for a boss	     1.000	     1.000	     1.000	     0.560	     0.560	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss flip off	     1.000	     1.000	     1.000	     0.560	     0.560	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss flask	     4.000	     1.000	     0.250	     0.510	     0.510	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
burger boss mug	     1.000	     1.000	     1.000	     0.440	     0.440	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
coffe mug for boss	    45.000	     2.000	     0.044	     1.360	     1.360	    12.950	     0.105	    28.150	     1.000	     1.000	   100.000	     1.000	     0.000	    12.950	     0.000
best boss female mug	     1.000	     1.000	     1.000	     0.580	     0.580	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
huge world's best boss mug	     1.000	     1.000	     1.000	     0.550	     0.550	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world best boss thermos	     1.000	     1.000	     1.000	     0.560	     0.560	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
word's best boss mug	    56.000	     3.000	     0.054	     2.110	     2.110	    12.950	     0.163	    31.590	     1.000	     1.000	   100.000	     1.000	     0.000	    12.950	     0.000
boss traveling mug	     1.000	     1.000	     1.000	     0.600	     0.600	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
coffee mug for an amazing boss	     1.000	     1.000	     1.000	     0.550	     0.550	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world's hottest boss mug	     1.000	     1.000	     1.000	     0.510	     0.510	    12.600	     0.040	    24.710	     1.000	     1.000	   100.000	     1.000	     0.000	    12.600	     0.000
gift for her boss	     1.000	     1.000	     1.000	     0.720	     0.720	    15.900	     0.045	    22.080	     1.000	     1.000	   100.000	     1.000	     0.000	    15.900	     0.000
world's okayest boss mug	   175.000	     5.000	     0.029	     2.760	     3.860	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world’s best boss tumbler	     1.000	     1.000	     1.000	     0.460	     0.460	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss ever trophy	     1.000	     1.000	     1.000	     0.480	     0.480	    12.600	     0.038	    26.250	     1.000	     1.000	   100.000	     1.000	     0.000	    12.600	     0.000
best boss forever	     3.000	     2.000	     0.667	     1.130	     1.130	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
cheap funny coffee mugs for boss	     2.000	     1.000	     0.500	     0.170	     0.170	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
decent boss mug	     1.000	     1.000	     1.000	     0.560	     0.560	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world's best boss soup mug	     1.000	     1.000	     1.000	     0.620	     0.620	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss tumbler	     3.000	     2.000	     0.667	     0.640	     1.270	    12.600	     0.101	     9.920	     1.000	     1.000	    50.000	     1.000	     0.000	    12.600	     0.000
bosses day gifts for women	  3468.000	    16.000	     0.005	     7.920	    14.240	    26.240	     0.543	     7.700	     2.000	     2.000	    53.330	     2.000	     0.000	    26.240	     0.000
best boss mugs for tea	     1.000	     1.000	     1.000	     0.590	     0.590	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
oversized coffee mugs boss	     2.000	     1.000	     0.500	     0.620	     0.620	    12.600	     0.049	    20.320	     1.000	     1.000	   100.000	     1.000	     0.000	    12.600	     0.000
boss day	    59.000	     4.000	     0.068	     1.240	     2.250	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
coolest boss gift	     2.000	     1.000	     0.500	     0.690	     0.690	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss coffee mugs red	     2.000	     1.000	     0.500	     0.270	     0.270	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
unique gift for boss	     3.000	     1.000	     0.333	     0.790	     0.790	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best lady boss	     2.000	     1.000	     0.500	     0.730	     0.730	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifted worlds best boss	     1.000	     1.000	     1.000	     0.680	     0.680	    11.280	     0.060	    16.590	     1.000	     1.000	   100.000	     1.000	     0.000	    11.280	     0.000
women boss gifts	     1.000	     1.000	     1.000	     0.690	     0.690	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world best boss mug women	     4.000	     1.000	     0.250	     0.800	     0.800	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
blue boss mug	     8.000	     1.000	     0.125	     0.620	     0.620	    11.280	     0.055	    18.190	     1.000	     1.000	   100.000	     1.000	     0.000	    11.280	     0.000
best boss beer	     3.000	     1.000	     0.333	     1.060	     1.060	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
bosses day	    93.000	     1.000	     0.011	     0.950	     0.950	    12.140	     0.078	    12.780	     1.000	     1.000	   100.000	     1.000	     0.000	    12.140	     0.000
tall mug best boss even	     5.000	     1.000	     0.200	     1.250	     1.250	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
#1 boss mug cup	     1.000	     1.000	     1.000	     0.420	     0.420	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss cup the office	     3.000	     2.000	     0.667	     1.310	     1.310	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
going away gifts for boss male	    12.000	     1.000	     0.083	     0.520	     0.520	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
valentines day gifts for my boss	     2.000	     1.000	     0.500	     0.630	     0.630	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss quotes	     1.000	     1.000	     1.000	     0.670	     0.670	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
christmas gifts for boss	     1.000	     1.000	     1.000	     0.550	     0.550	    12.140	     0.045	    22.070	     1.000	     1.000	   100.000	     1.000	     0.000	    12.140	     0.000
