Search term	Impressions	Clicks	CTR	CPC	Spend	Seven_Day_Total_Sales	ACoS	RoAS	Seven_Day_Total_Orders	Seven_Day_Total_Units	Seven_Day_Total_Rate	Seven_Day_Advertised_SKU_Units	Seven_Day_Other_SKU_Units	Seven_Day_Advertised_SKU_Sales	Seven_Day_Other_SKU_Sales = 22	
gifts for bosses	     2.000	     1.000	     0.500	     0.490	     0.490	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mom wife boss mug	     8.000	     2.000	     0.250	     1.440	     1.440	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
police gifts for boss	     4.000	     1.000	     0.250	     0.480	     0.480	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss musician gifts	     1.000	     1.000	     1.000	     0.480	     0.480	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss birthday gifts for women	    17.000	     5.000	     0.294	     2.370	     3.690	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss mugs for men	  1860.000	    32.000	     0.017	    17.020	    22.220	    51.840	     0.429	    71.760	     4.000	     4.000	   320.000	     4.000	     0.000	    51.840	     0.000
coffee mugs for boss	   724.000	    16.000	     0.022	     6.240	     9.710	    12.060	     0.805	     6.250	     1.000	     1.000	    33.333	     1.000	     0.000	    12.060	     0.000
gifts for your boss	   485.000	    11.000	     0.023	     5.620	     6.200	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss mug girl	     1.000	     1.000	     1.000	     0.780	     0.780	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss farewell gift	     5.000	     3.000	     0.600	     0.990	     1.700	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss lady gifts	  2393.000	    30.000	     0.013	    16.520	    21.920	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
the best boss mug	  1290.000	    15.000	     0.012	    10.880	    12.050	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds greatest boss mug the office	    27.000	     4.000	     0.148	     1.680	     2.120	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
funny boss birthday gifts	     3.000	     1.000	     0.333	     0.670	     0.670	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
farewell gifts for boss	    69.000	    10.000	     0.145	     3.590	     6.040	    33.490	     0.180	    24.610	     3.000	     3.000	   140.000	     3.000	     0.000	    33.490	     0.000
gift for male boss	   209.000	     8.000	     0.038	     2.420	     4.680	    12.200	     0.384	     5.040	     1.000	     1.000	    25.000	     1.000	     0.000	    12.200	     0.000
unique boss gifts	     2.000	     1.000	     0.500	     0.700	     0.700	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
1 boss mug	    10.000	     2.000	     0.200	     0.620	     0.620	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss gifts for women	   689.000	    12.000	     0.017	     7.200	     7.790	    13.820	     0.564	    11.710	     1.000	     1.000	    50.000	     0.000	     1.000	     0.000	     0.000
customized best boss ever mug	     1.000	     1.000	     1.000	     0.610	     0.610	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world's best boss ever mug	     3.000	     2.000	     0.667	     1.180	     1.180	    22.490	     0.052	    43.320	     2.000	     2.000	   200.000	     2.000	     0.000	    22.490	     0.000
beat boss mug	     4.000	     2.000	     0.500	     1.160	     1.160	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss ever travel mug	     2.000	     1.000	     0.500	     0.570	     0.570	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss mugs	  5662.000	    32.000	     0.006	    17.380	    25.170	    87.140	     0.289	    61.520	     6.000	     7.000	   353.333	     7.000	     0.000	    87.140	     0.000
gifts for boss male birthday	     1.000	     1.000	     1.000	     0.670	     0.670	     9.600	     0.070	    14.330	     1.000	     1.000	   100.000	     1.000	     0.000	     9.600	     0.000
world's best boss mug	  9913.000	    81.000	     0.008	    28.500	    54.120	   231.550	     0.234	   142.240	    17.000	    18.000	   821.429	    17.000	     1.000	   217.730	     0.000
boss gifts thankful	     2.000	     1.000	     0.500	     0.700	     0.700	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gift for boss	  1146.000	    25.000	     0.022	     4.910	    16.700	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss birthday gift	    24.000	     3.000	     0.125	     1.300	     1.850	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss of the year coffee mug	     4.000	     1.000	     0.250	     0.630	     0.630	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
birthday gifts for boss	    10.000	     2.000	     0.200	     1.170	     1.170	     9.600	     0.122	    14.550	     1.000	     1.000	   100.000	     1.000	     0.000	     9.600	     0.000
gifts to boss	     2.000	     1.000	     0.500	     0.720	     0.720	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
